common_name,new_name,old_name
Accessibility,Accessibility.2015.Annual.Data.5km.mean,accessibility_50k_5km.mean
Aridity_Index,Aridity_Index_v2.Synoptic.Overall.Data.5km.mean,AI_1950.2000_5km.mean
Elevation,SRTM_elevation.Synoptic.Overall.Data.5km.mean,Africa_SRTM_90m.mean
NightTimeLights,VIIRS.SLC.2014.Annual.mean.5km.mean,viirs_nighttime_5km.mean
PET,PET_v2.Synoptic.Overall.Data.5km.mean,PET_1950.2000_5km.mean
Pf_Seasonality,pf_seasonality,pf_seasonality
Slope,SRTM_SlopePCT_Corrected.Synoptic.Overall.Data.5km.mean,Africa_slope_90m.mean
TMI,Africa_TMI_90m.mean,Africa_TMI_90m.mean
Landcover_17_Water,Landcover_17_Water,IGBP_Landcover_0
Landcover_1_Evergreen_Needleleaf_Forest,Landcover_1_Evergreen_Needleleaf_Forest,IGBP_Landcover_1
Landcover_2_Evergreen_Broadleaf_Forest,Landcover_2_Evergreen_Broadleaf_Forest,IGBP_Landcover_2
Landcover_3_Deciduous_Needleleaf_Forest,Landcover_3_Deciduous_Needleleaf_Forest,IGBP_Landcover_3
Landcover_4_Deciduous_Broadleaf_Forest,Landcover_4_Deciduous_Broadleaf_Forest,IGBP_Landcover_4
Landcover_5_Mixed_Forest,Landcover_5_Mixed_Forest,IGBP_Landcover_5
Landcover_6_Closed_Shrublands,Landcover_6_Closed_Shrublands,IGBP_Landcover_6
Landcover_7_Open_Shrublands,Landcover_7_Open_Shrublands,IGBP_Landcover_7
Landcover_8_Woody_Savannas,Landcover_8_Woody_Savannas,IGBP_Landcover_8
Landcover_9_Savannas,Landcover_9_Savannas,IGBP_Landcover_9
Landcover_10_Grasslands,Landcover_10_Grasslands,IGBP_Landcover_10
Landcover_11_Permanent_Wetlands,Landcover_11_Permanent_Wetlands,IGBP_Landcover_11
Landcover_12_Croplands,Landcover_12_Croplands,IGBP_Landcover_12
Landcover_14_Cropland_Natural_Vegetation_Mosaic,Landcover_14_Cropland_Natural_Vegetation_Mosaic,IGBP_Landcover_14
Landcover_15_Snow_And_Ice,Landcover_15_Snow_And_Ice,IGBP_Landcover_15
Landcover_16_Barren_Or_Sparsely_Populated,Landcover_16_Barren_Or_Sparsely_Populated,IGBP_Landcover_16
Population,Population,AfriPop
EVI,EVI,EVI
LST_day,LST_day,LST_day
LST_night,LST_night,LST_night
TCW,TCW,TCW
TSI,TSI,TSI
